company,role,date_applied,status,source,response_date,notes
East Coast Coders,Accounting & Bookkeeping Professional,10/21/2025,applied,Indeed,,
"Core Consulting, inc.",Data Conversion Analyst,10/21/2025,applied,Indeed,,
"GrowthLab Financial Services, inc.",Senior Bookkeeper,10/21/2025,applied,Indeed,,
River Region Psychiatry Associates,Controller,10/21/2025,applied,Indeed,,
newVANCE,Assistant Controller,10/15/2025,applied,LinkedIn,,
Accuris,Business Analyst - Partner Operations & Strategy,10/9/2025,applied,builtin,,
Accuris,Senior Revenue Operations Data Analyst,10/9/2025,applied,builtin,,
DataDog,FP&A Analyst,10/7/2025,applied,Greenhouse.io,,
SentinelOne,Revenue Manager,10/7/2025,applied,Greenhouse.io,,
Cribl,Senior Revenue Accountant,10/7/2025,applied,Greenhouse.io,,
Orion,Controller,10/7/2025,applied,Greenhouse.io,,
xAI,AI Financial Analyst Tutor,10/7/2025,applied,Greenhouse.io,,
Buyers Edge Platform,Contract Analyst I,10/7/2025,applied,Greenhouse.io,,
Progressive,Power BI Analyst,10/7/2025,applied,LinkedIn,,
Cytel,"Manager, Financial Systems & Reporting",10/7/2025,applied,LinkedIn,,
ScaleWiseFinance,Assistant Controller,10/7/2025,applied,LinkedIn,,
CloudLabs Inc,Assistant Controller,10/7/2025,applied,LinkedIn,,
Crunchbase,Contracts Administrator,10/7/2025,applied,LinkedIn,,
Veear,IT Business Planning Analyst,10/7/2025,applied,LinkedIn,,
Prime Food Processing,Controller,9/30/2025,applied,Indeed,,
Grocer Direct,Financial Controller,9/30/2025,applied,Indeed,,
